n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
6,30.0,25.71,1.600261,1.603979,2.210762,150.0,"18,13;18,12;19,12;20,12;20,13;19,13"
6,30.0,25.71,1.600223,1.604063,2.237265,150.0,"18,10;18,11;18,12;19,12;19,11;19,10"
4,20.0,17.14,1.59995,1.604063,1.511832,100.0,"18,11;19,11;19,10;18,10"
6,30.0,25.71,1.599743,1.604063,2.205803,150.0,"20,10;19,10;18,10;18,11;19,11;20,11"
6,30.0,25.71,1.599619,1.605123,2.155405,150.0,"18,10;19,10;20,10;20,9;19,9;18,9"
6,30.0,25.71,1.599564,1.603979,2.210483,150.0,"20,12;19,12;18,12;18,11;19,11;20,11"
4,20.0,17.14,1.599097,1.665264,1.516778,100.0,"8,39;8,38;7,38;7,39"
6,30.0,25.71,1.598788,1.604063,2.196214,150.0,"18,9;19,9;19,10;19,11;18,11;18,10"
4,20.0,17.14,1.598611,1.629826,1.517914,100.0,"11,28;11,29;10,29;10,28"
6,30.0,25.71,1.597941,1.603979,2.241975,150.0,"19,14;18,14;18,13;18,12;19,12;19,13"
4,20.0,17.14,1.597875,1.604063,1.47078,100.0,"19,9;19,10;18,10;18,9"
6,30.0,25.71,1.597837,1.713305,2.239101,150.0,"8,41;8,40;7,40;6,40;6,41;7,41"
6,30.0,25.71,1.597022,1.649227,2.217016,150.0,"10,23;10,24;10,25;9,25;9,24;9,23"
6,30.0,25.71,1.596609,1.603979,2.197824,150.0,"19,13;19,12;20,12;20,13;20,14;19,14"
4,20.0,17.14,1.596528,1.60351,1.516554,100.0,"18,13;19,13;19,14;18,14"
6,30.0,25.71,1.596521,1.677856,2.242443,150.0,"10,27;9,27;9,28;10,28;11,28;11,27"
6,30.0,25.71,1.596468,1.603979,2.242423,150.0,"19,12;19,13;18,13;17,13;17,12;18,12"
6,30.0,25.71,1.595985,1.603979,2.241731,150.0,"17,12;17,11;18,11;19,11;19,12;18,12"
6,30.0,25.71,1.595423,1.60351,2.210775,150.0,"19,13;20,13;20,14;19,14;18,14;18,13"
4,20.0,17.14,1.594655,1.60351,1.48488,100.0,"19,14;20,14;20,13;19,13"
4,20.0,17.14,1.594568,1.649385,1.484428,100.0,"8,33;8,32;7,32;7,33"
6,30.0,25.71,1.594407,1.604063,2.224985,150.0,"19,11;18,11;17,11;17,10;18,10;19,10"
4,20.0,17.14,1.593974,1.606302,1.471503,100.0,"9,21;9,22;8,22;8,21"
6,30.0,25.71,1.593587,1.60351,2.242449,150.0,"17,13;17,14;18,14;19,14;19,13;18,13"
6,30.0,25.71,1.593509,1.687053,2.226613,150.0,"8,30;9,30;10,30;10,31;9,31;8,31"
4,20.0,17.14,1.592829,1.59814,1.517885,100.0,"17,13;17,12;18,12;18,13"
6,30.0,25.71,1.592417,1.59814,2.243764,150.0,"17,13;17,12;18,12;18,13;18,14;17,14"
6,30.0,25.71,1.592352,1.59814,2.243086,150.0,"17,11;17,12;17,13;18,13;18,12;18,11"
4,20.0,17.14,1.59233,1.59814,1.517911,100.0,"17,14;17,13;18,13;18,14"
4,20.0,17.14,1.591994,1.597557,1.517207,100.0,"18,12;17,12;17,11;18,11"
6,30.0,25.71,1.590601,1.597557,2.226757,150.0,"17,12;17,11;17,10;18,10;18,11;18,12"
