n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
4,20.0,17.14,1.653956,1.697564,1.471942,100.0,"6,41;5,41;5,40;6,40"
4,20.0,17.14,1.646224,1.699352,1.471933,100.0,"8,32;7,32;7,31;8,31"
6,30.0,25.71,1.628043,1.699352,2.18489,150.0,"7,31;7,32;7,33;8,33;8,32;8,31"
6,30.0,25.71,1.621538,1.697564,2.185093,150.0,"5,40;5,41;5,42;6,42;6,41;6,40"
4,20.0,17.14,1.616787,1.662173,1.500717,100.0,"6,39;6,40;7,40;7,39"
4,20.0,17.14,1.615055,1.643015,1.485092,100.0,"8,28;9,28;9,29;8,29"
6,30.0,25.71,1.614943,1.697564,2.197838,150.0,"6,40;7,40;7,41;6,41;5,41;5,40"
4,20.0,17.14,1.610566,1.676018,1.484428,100.0,"8,33;8,32;7,32;7,33"
6,30.0,25.71,1.609389,1.643015,2.201179,150.0,"8,28;8,29;8,30;9,30;9,29;9,28"
4,20.0,17.14,1.607664,1.643015,1.488232,100.0,"9,29;8,29;8,30;9,30"
6,30.0,25.71,1.606624,1.662173,2.213649,150.0,"6,39;6,38;7,38;7,39;7,40;6,40"
6,30.0,25.71,1.605653,1.643015,2.198024,150.0,"8,28;8,29;9,29;9,28;9,27;8,27"
4,20.0,17.14,1.604145,1.662173,1.488215,100.0,"6,39;7,39;7,38;6,38"
4,20.0,17.14,1.599844,1.637593,1.484873,100.0,"8,28;9,28;9,27;8,27"
6,30.0,25.71,1.598987,1.699352,2.197828,150.0,"8,32;7,32;7,31;8,31;9,31;9,32"
6,30.0,25.71,1.597904,1.643015,2.213665,150.0,"9,30;9,29;8,29;8,30;8,31;9,31"
6,30.0,25.71,1.595507,1.662173,2.226153,150.0,"7,41;7,40;7,39;6,39;6,40;6,41"
4,20.0,17.14,1.594836,1.663041,1.484631,100.0,"5,41;5,42;6,42;6,41"
6,30.0,25.71,1.591885,1.637593,2.197376,150.0,"8,26;8,27;8,28;9,28;9,27;9,26"
4,20.0,17.14,1.58822,1.636612,1.500717,100.0,"9,30;9,31;8,31;8,30"
6,30.0,25.71,1.58596,1.643015,2.210988,150.0,"9,29;8,29;8,28;9,28;10,28;10,29"
6,30.0,25.71,1.583388,1.676018,2.197579,150.0,"7,34;7,33;7,32;8,32;8,33;8,34"
4,20.0,17.14,1.582264,1.652323,1.513206,100.0,"6,41;6,40;7,40;7,41"
4,20.0,17.14,1.581409,1.617139,1.484419,100.0,"8,26;9,26;9,27;8,27"
6,30.0,25.71,1.579829,1.662173,2.200717,150.0,"6,39;6,38;6,37;7,37;7,38;7,39"
6,30.0,25.71,1.576751,1.617139,2.184897,150.0,"8,26;8,25;9,25;9,26;9,27;8,27"
6,30.0,25.71,1.575761,1.643015,2.214127,150.0,"10,29;10,30;9,30;8,30;8,29;9,29"
4,20.0,17.14,1.571702,1.602318,1.471949,100.0,"8,26;8,25;9,25;9,26"
6,30.0,25.71,1.569111,1.636612,2.226151,150.0,"8,32;9,32;9,31;9,30;8,30;8,31"
6,30.0,25.71,1.568679,1.637593,2.210769,150.0,"10,28;9,28;8,28;8,27;9,27;10,27"
6,30.0,25.71,1.566749,1.662173,2.226613,150.0,"7,40;6,40;6,39;7,39;8,39;8,40"
6,30.0,25.71,1.56136,1.676018,2.210324,150.0,"8,32;9,32;9,33;8,33;7,33;7,32"
4,20.0,17.14,1.560356,1.649057,1.485076,100.0,"8,33;7,33;7,34;8,34"
4,20.0,17.14,1.558788,1.591528,1.516585,100.0,"9,29;9,28;10,28;10,29"
4,20.0,17.14,1.558747,1.640578,1.484631,100.0,"7,37;7,38;6,38;6,37"
6,30.0,25.71,1.558129,1.663041,2.200717,150.0,"6,43;6,42;6,41;5,41;5,42;5,43"
4,20.0,17.14,1.554638,1.626639,1.513204,100.0,"8,32;9,32;9,31;8,31"
6,30.0,25.71,1.553672,1.662173,2.214111,150.0,"8,38;7,38;6,38;6,39;7,39;8,39"
6,30.0,25.71,1.553668,1.617139,2.210315,150.0,"9,26;10,26;10,27;9,27;8,27;8,26"
6,30.0,25.71,1.550261,1.663041,2.210526,150.0,"7,42;7,41;6,41;5,41;5,42;6,42"
6,30.0,25.71,1.548456,1.602318,2.197845,150.0,"9,25;8,25;8,26;9,26;10,26;10,25"
6,30.0,25.71,1.547412,1.591528,2.242009,150.0,"10,27;9,27;9,28;9,29;10,29;10,28"
6,30.0,25.71,1.547161,1.591528,2.242221,150.0,"10,28;10,29;10,30;9,30;9,29;9,28"
6,30.0,25.71,1.547147,1.636612,2.226613,150.0,"10,31;9,31;8,31;8,30;9,30;10,30"
6,30.0,25.71,1.545201,1.652323,2.238667,150.0,"6,41;6,40;7,40;7,41;7,42;6,42"
4,20.0,17.14,1.543735,1.591528,1.516788,100.0,"10,29;9,29;9,30;10,30"
4,20.0,17.14,1.539335,1.588084,1.516547,100.0,"10,27;10,28;9,28;9,27"
6,30.0,25.71,1.535096,1.588084,2.241779,150.0,"10,26;10,27;10,28;9,28;9,27;9,26"
6,30.0,25.71,1.533421,1.591528,2.24248,150.0,"9,28;9,29;10,29;11,29;11,28;10,28"
6,30.0,25.71,1.533308,1.626639,2.238639,150.0,"8,33;9,33;9,32;9,31;8,31;8,32"
6,30.0,25.71,1.531863,1.640578,2.185093,150.0,"6,36;7,36;7,37;7,38;6,38;6,37"
6,30.0,25.71,1.526299,1.652323,2.239101,150.0,"7,40;6,40;6,41;7,41;8,41;8,40"
4,20.0,17.14,1.525638,1.55656,1.516343,100.0,"10,27;9,27;9,26;10,26"
4,20.0,17.14,1.525555,1.549619,1.513213,100.0,"10,25;9,25;9,26;10,26"
6,30.0,25.71,1.525256,1.55656,2.238647,150.0,"9,26;9,27;10,27;10,26;10,25;9,25"
6,30.0,25.71,1.52446,1.591528,2.242667,150.0,"9,30;9,31;10,31;10,30;10,29;9,29"
4,20.0,17.14,1.5215,1.581812,1.517233,100.0,"8,39;7,39;7,40;8,40"
6,30.0,25.71,1.520725,1.591528,2.242684,150.0,"11,29;11,30;10,30;9,30;9,29;10,29"
4,20.0,17.14,1.520709,1.59048,1.488215,100.0,"5,43;5,42;6,42;6,43"
6,30.0,25.71,1.518388,1.549619,2.226364,150.0,"10,26;10,25;10,24;9,24;9,25;9,26"
6,30.0,25.71,1.517235,1.649057,2.201163,150.0,"7,34;7,33;8,33;8,34;8,35;7,35"
6,30.0,25.71,1.516081,1.588084,2.242443,150.0,"10,27;9,27;9,28;10,28;11,28;11,27"
4,20.0,17.14,1.514273,1.548672,1.50093,100.0,"10,24;10,25;9,25;9,24"
6,30.0,25.71,1.512989,1.649057,2.210972,150.0,"9,33;9,34;8,34;7,34;7,33;8,33"
4,20.0,17.14,1.512011,1.602896,1.516373,100.0,"7,42;6,42;6,41;7,41"
4,20.0,17.14,1.510771,1.58289,1.516345,100.0,"9,32;9,33;8,33;8,32"
