n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str,optimizer_danger_removed
4,20.0,17.14,1.452147,1.475192,1.517967,100.0,"12,28;12,27;11,27;11,28",2.882958
6,30.0,25.71,1.451959,1.503615,2.243577,150.0,"10,25;10,26;11,26;12,26;12,25;11,25",3.809383
6,30.0,25.71,1.451324,1.462548,2.242423,150.0,"17,12;17,13;18,13;19,13;19,12;18,12",3.720335
6,30.0,25.71,1.450159,1.462548,2.241731,150.0,"17,12;17,11;18,11;19,11;19,12;18,12",3.670216
6,30.0,25.71,1.449882,1.475238,2.239099,150.0,"11,21;10,21;9,21;9,20;10,20;11,20",3.639196
6,30.0,25.71,1.449385,1.462072,2.241988,150.0,"19,14;19,15;18,15;18,14;18,13;19,13",3.691605
6,30.0,25.71,1.448006,1.462177,2.224985,150.0,"17,10;18,10;19,10;19,11;18,11;17,11",3.421142
6,30.0,25.71,1.447738,1.475148,2.243357,150.0,"11,21;11,20;10,20;10,21;10,22;11,22",3.787994
4,20.0,17.14,1.446843,1.453283,1.48488,100.0,"19,14;19,15;20,15;20,14",2.399492
6,30.0,25.71,1.446701,1.475192,2.24386,150.0,"12,27;12,26;11,26;11,27;11,28;12,28",3.840971
4,20.0,17.14,1.446457,1.453373,1.517911,100.0,"17,13;17,14;18,14;18,13",2.882958
6,30.0,25.71,1.446286,1.501042,2.210314,150.0,"6,45;5,45;4,45;4,46;5,46;6,46",3.328775
6,30.0,25.71,1.446107,1.453283,2.210776,150.0,"18,14;18,15;19,15;20,15;20,14;19,14",3.357505
6,30.0,25.71,1.446016,1.453373,2.243764,150.0,"18,14;18,13;18,12;17,12;17,13;17,14",3.840971
4,20.0,17.14,1.44552,1.457575,1.504059,100.0,"9,20;10,20;10,19;9,19",2.662045
4,20.0,17.14,1.445216,1.452972,1.516555,100.0,"18,14;18,15;19,15;19,14",2.762322
6,30.0,25.71,1.445208,1.475148,2.243157,150.0,"11,22;10,22;10,23;11,23;12,23;12,22",3.790853
6,30.0,25.71,1.444881,1.453373,2.243086,150.0,"18,12;18,13;17,13;17,12;17,11;18,11",3.790853
6,30.0,25.71,1.444381,1.479197,2.242917,150.0,"12,24;12,23;11,23;10,23;10,24;11,24",3.783512
4,20.0,17.14,1.444118,1.490401,1.513203,100.0,"5,45;6,45;6,44;5,44",2.681184
6,30.0,25.71,1.444118,1.500314,2.243159,150.0,"11,25;12,25;12,24;11,24;10,24;10,25",3.790853
4,20.0,17.14,1.444057,1.452384,1.517207,100.0,"17,12;18,12;18,11;17,11",2.83284
6,30.0,25.71,1.443448,1.581812,2.242674,150.0,"8,38;7,38;7,39;8,39;9,39;9,38",3.751923
6,30.0,25.71,1.443226,1.453373,2.24379,150.0,"18,13;18,14;18,15;17,15;17,14;17,13",3.840971
6,30.0,25.71,1.442982,1.452972,2.24245,150.0,"18,14;19,14;19,15;18,15;17,15;17,14",3.720335
6,30.0,25.71,1.44263,1.530126,2.243558,150.0,"10,32;10,33;9,33;9,32;9,31;10,31",3.809383
6,30.0,25.71,1.442466,1.452384,2.226757,150.0,"18,12;17,12;17,11;17,10;18,10;18,11",3.560308
4,20.0,17.14,1.442398,1.591533,1.48488,100.0,"22,51;23,51;23,50;22,50",2.399492
6,30.0,25.71,1.441954,1.530126,2.243574,150.0,"9,31;10,31;11,31;11,32;10,32;9,32",3.809383
4,20.0,17.14,1.441619,1.465689,1.517679,100.0,"11,20;10,20;10,21;11,21",2.85137
4,20.0,17.14,1.441597,1.463955,1.517965,100.0,"12,27;12,26;11,26;11,27",2.882958
4,20.0,17.14,1.441574,1.452201,1.517912,100.0,"18,15;18,14;17,14;17,15",2.882958
