n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
4,20.0,17.14,1.819577,1.84461,1.485092,100.0,"8,28;8,29;9,29;9,28"
4,20.0,17.14,1.816369,1.818155,1.511832,100.0,"19,10;19,11;18,11;18,10"
6,30.0,25.71,1.816153,1.818155,2.237265,150.0,"19,12;18,12;18,11;18,10;19,10;19,11"
4,20.0,17.14,1.816143,1.81663,1.516269,100.0,"18,11;18,12;19,12;19,11"
6,30.0,25.71,1.815922,1.81663,2.241703,150.0,"19,11;19,12;19,13;18,13;18,12;18,11"
4,20.0,17.14,1.8156,1.816125,1.516541,100.0,"18,13;19,13;19,12;18,12"
6,30.0,25.71,1.815535,1.818155,2.196214,150.0,"19,10;19,11;18,11;18,10;18,9;19,9"
4,20.0,17.14,1.81502,1.818155,1.47078,100.0,"18,9;18,10;19,10;19,9"
6,30.0,25.71,1.814725,1.81663,2.241731,150.0,"19,11;19,12;18,12;17,12;17,11;18,11"
6,30.0,25.71,1.814183,1.816125,2.242423,150.0,"18,12;17,12;17,13;18,13;19,13;19,12"
4,20.0,17.14,1.81401,1.818155,1.454927,100.0,"19,9;20,9;20,10;19,10"
6,30.0,25.71,1.814009,1.818155,2.224985,150.0,"18,11;17,11;17,10;18,10;19,10;19,11"
4,20.0,17.14,1.813899,1.816502,1.517207,100.0,"17,12;18,12;18,11;17,11"
4,20.0,17.14,1.813596,1.848014,1.471949,100.0,"9,26;9,25;8,25;8,26"
6,30.0,25.71,1.813558,1.816502,2.243086,150.0,"17,12;17,13;18,13;18,12;18,11;17,11"
6,30.0,25.71,1.813439,1.818155,2.155405,150.0,"19,9;20,9;20,10;19,10;18,10;18,9"
4,20.0,17.14,1.813327,1.815318,1.517885,100.0,"18,12;18,13;17,13;17,12"
6,30.0,25.71,1.812803,1.816502,2.226757,150.0,"17,11;17,12;18,12;18,11;18,10;17,10"
4,20.0,17.14,1.812317,1.816502,1.500878,100.0,"17,10;18,10;18,11;17,11"
6,30.0,25.71,1.812024,1.818155,2.167874,150.0,"20,9;20,10;20,11;19,11;19,10;19,9"
6,30.0,25.71,1.81202,1.815318,2.243764,150.0,"17,14;18,14;18,13;18,12;17,12;17,13"
6,30.0,25.71,1.811854,1.818155,2.205803,150.0,"19,10;20,10;20,11;19,11;18,11;18,10"
6,30.0,25.71,1.811409,1.816125,2.210762,150.0,"19,12;20,12;20,13;19,13;18,13;18,12"
4,20.0,17.14,1.811141,1.815291,1.517911,100.0,"17,14;18,14;18,13;17,13"
6,30.0,25.71,1.811058,1.816502,2.242846,150.0,"17,11;16,11;16,12;17,12;18,12;18,11"
6,30.0,25.71,1.810966,1.816125,2.241975,150.0,"18,13;18,14;19,14;19,13;19,12;18,12"
6,30.0,25.71,1.8106,1.815318,2.243773,150.0,"17,12;18,12;18,13;17,13;16,13;16,12"
6,30.0,25.71,1.81047,1.81663,2.210483,150.0,"19,12;20,12;20,11;19,11;18,11;18,12"
4,20.0,17.14,1.810108,1.818155,1.483499,100.0,"19,10;19,11;20,11;20,10"
6,30.0,25.71,1.809766,1.84461,2.198024,150.0,"9,29;8,29;8,28;8,27;9,27;9,28"
4,20.0,17.14,1.809462,1.816125,1.484876,100.0,"20,12;19,12;19,13;20,13"
4,20.0,17.14,1.809353,1.84461,1.484873,100.0,"9,28;8,28;8,27;9,27"
6,30.0,25.71,1.809222,1.818155,2.196447,150.0,"20,10;19,10;19,11;19,12;20,12;20,11"
6,30.0,25.71,1.809085,1.816502,2.216995,150.0,"16,10;17,10;18,10;18,11;17,11;16,11"
6,30.0,25.71,1.808991,1.81663,2.197753,150.0,"19,12;19,13;20,13;20,12;20,11;19,11"
6,30.0,25.71,1.808749,1.815667,2.242449,150.0,"19,14;19,13;18,13;17,13;17,14;18,14"
4,20.0,17.14,1.808632,1.812236,1.517021,100.0,"16,11;17,11;17,12;16,12"
4,20.0,17.14,1.808589,1.815667,1.516554,100.0,"18,14;18,13;19,13;19,14"
4,20.0,17.14,1.808248,1.812236,1.517933,100.0,"16,12;17,12;17,13;16,13"
6,30.0,25.71,1.808222,1.812236,2.242916,150.0,"17,13;16,13;16,12;16,11;17,11;17,12"
4,20.0,17.14,1.80775,1.81663,1.484805,100.0,"20,12;19,12;19,11;20,11"
6,30.0,25.71,1.807603,1.815291,2.243806,150.0,"16,13;17,13;18,13;18,14;17,14;16,14"
6,30.0,25.71,1.807287,1.84461,2.197376,150.0,"9,28;9,27;9,26;8,26;8,27;8,28"
6,30.0,25.71,1.807001,1.812236,2.217509,150.0,"16,10;16,11;16,12;17,12;17,11;17,10"
6,30.0,25.71,1.80623,1.812236,2.243828,150.0,"17,13;17,14;16,14;16,13;16,12;17,12"
4,20.0,17.14,1.805955,1.811539,1.491614,100.0,"17,11;16,11;16,10;17,10"
6,30.0,25.71,1.805779,1.848014,2.184897,150.0,"8,25;9,25;9,26;9,27;8,27;8,26"
4,20.0,17.14,1.804798,1.810462,1.517966,100.0,"16,13;16,14;17,14;17,13"
6,30.0,25.71,1.804576,1.812236,2.243828,150.0,"17,13;16,13;15,13;15,12;16,12;17,12"
6,30.0,25.71,1.80443,1.812236,2.24291,150.0,"15,11;15,12;16,12;17,12;17,11;16,11"
6,30.0,25.71,1.804075,1.815667,2.210775,150.0,"19,14;20,14;20,13;19,13;18,13;18,14"
6,30.0,25.71,1.802154,1.816125,2.197824,150.0,"20,13;20,12;19,12;19,13;19,14;20,14"
