row,col,northing_km,easting_km,fire_norm,animal_norm,danger,removed,residual,has_stationary,has_camera,covered_by_drone,covered_by_human
2,53,-59.36,83.77,0.4595393982367037,0.6732172042782333,1.132756602514937,0.10023627609216616,1.0325203264227707,0,0,1,0
3,50,-54.36,68.77,0.4544178088640918,0.668711926256018,1.1231297351201097,0.18141488881870382,0.9417148463014059,0,0,1,0
3,51,-54.36,73.77,0.48705812510928015,0.6582748831833444,1.1453330082926245,0.26030317919205187,0.8850298291005727,0,0,1,0
3,52,-54.36,78.77,0.5029939341165451,0.6518721745017633,1.1548661086183083,0.3222184252309181,0.8326476833873901,0,0,1,0
3,53,-54.36,83.77,0.508404878670979,0.6470736133284223,1.1554784919994012,0.3302531181709055,0.8252253738284957,0,0,1,0
3,54,-54.36,88.77,0.5529247392535557,0.645700707824186,1.1986254470777418,0.3132800738364237,0.8853453732413181,0,0,1,0
3,55,-54.36,93.77,0.5718166714170149,0.637462959649079,1.2092796310660938,0.2315330268647869,0.9777466042013069,0,0,1,0
4,6,-49.36,-151.23,0.024257530880689306,0.1740549051538352,0.1983124360345245,0.0,0.1983124360345245,0,0,0,0
4,7,-49.36,-146.23,0.023685158841862883,0.20674085606629639,0.23042601490815928,0.0,0.23042601490815928,0,0,0,0
4,8,-49.36,-141.23,0.02155171780605127,0.2463449535805835,0.26789667138663475,-0.0,0.26789667138663475,0,0,0,0
4,44,-49.36,38.77,0.1665652428518404,0.7409718060372726,0.907537048889113,0.012035109094008593,0.8955019397951044,0,0,0,0
4,45,-49.36,43.77,0.17275793312532384,0.7249470923795089,0.8977050255048328,0.029872105767634792,0.867832919737198,0,0,0,0
4,46,-49.36,48.77,0.17403160509203322,0.7095334605504745,0.8835650656425077,0.029872105767634792,0.8536929598748729,0,0,0,0
4,47,-49.36,53.77,0.19282315329544633,0.6920112801421452,0.8848344334375915,0.024070218188017186,0.8607642152495744,0,0,0,0
4,48,-49.36,58.77,0.2746445190229827,0.6717281245801254,0.9463726436031081,0.046566746191990825,0.8998058974111173,0,0,1,0
4,49,-49.36,63.77,0.36279540502763985,0.6525364738832795,1.0153318789109194,0.14104153751343992,0.8742903413974794,0,0,1,0
4,50,-49.36,68.77,0.429142136318015,0.6357611904462661,1.0649033267642811,0.4790064284194311,0.58589689834485,0,0,1,0
4,51,-49.36,73.77,0.4478024851851004,0.6221370760547864,1.0699395612398868,0.8002766789010665,0.2696628823388203,0,0,1,0
4,52,-49.36,78.77,0.4558720983864092,0.6122539691156671,1.0681260675020763,1.0681260675020763,0.0,0,0,1,0
4,53,-49.36,83.77,0.4812466305353134,0.6065771871039479,1.0878238176392614,0.9219417463298515,0.1658820713094099,0,0,1,0
4,54,-49.36,88.77,0.5144175929301237,0.6051444014637617,1.1195619943938855,0.9101446383370684,0.2094173560568171,0,0,1,0
4,55,-49.36,93.77,0.510099761615542,0.5999321070634696,1.1100318686790116,0.6390329287104164,0.4709989399685952,0,0,1,0
4,56,-49.36,98.77,0.42510141882926594,0.5878321093186545,1.0129335281479204,0.3295597862215641,0.6833737419263562,0,0,1,0
4,57,-49.36,103.77,0.4280449316973653,0.5781987196008482,1.0062436512982136,0.22928310732049761,0.776960543977716,0,0,1,0
5,7,-44.36,-146.23,0.0249009855904926,0.2076654337534238,0.23256641934391642,0.0,0.23256641934391642,0,0,0,0
5,40,-44.36,18.77,0.0673930505457743,0.8208406021075145,0.8882336526532888,0.012035109094008593,0.8761985435592802,0,0,0,0
