row,col,northing_km,easting_km,fire_norm,poacher_norm,danger,removed,residual,has_stationary_person,has_patrol_person,has_camera,has_drone
0,49,-57.54,85.22,0.459539398236672,0.6732172042782142,1.132756602514886,0.7213555163600814,0.41140108615480464,0,0,0,0
1,46,-52.54,70.22,0.4544178088640679,0.6687119262559997,1.1231297351200675,0.7175484042097384,0.4055813309103291,0,0,0,0
1,47,-52.54,75.22,0.4870581251092516,0.6582748831833258,1.1453330082925774,0.8453916192700051,0.2999413890225724,0,0,0,0
1,48,-52.54,80.22,0.5029939341165162,0.6518721745017446,1.1548661086182608,1.1548661086182608,0.0,1,0,0,0
1,49,-52.54,85.22,0.5084048786709555,0.6470736133284029,1.1554784919993584,1.0301239008492815,0.12535459115007686,0,0,0,0
1,50,-52.54,90.22,0.5529247392535319,0.645700707824166,1.1986254470776978,1.1986254470776978,0.0,1,0,0,0
1,51,-52.54,95.22,0.5718166714169804,0.6374629596490589,1.2092796310660394,0.8995587997793041,0.30972083128673533,0,0,0,0
2,2,-47.54,-149.78,0.024257530880688438,0.17405490515381614,0.19831243603450457,0.17326565314402081,0.02504678289048376,0,0,0,0
2,3,-47.54,-144.78,0.02368515884186204,0.20674085606627673,0.23042601490813877,0.1866886930860155,0.04373732182212328,0,0,0,0
2,4,-47.54,-139.78,0.0215517178060505,0.24634495358056407,0.26789667138661455,0.18522657884915683,0.08267009253745772,0,0,0,0
2,40,-47.54,40.22,0.1665652428518284,0.7409718060372561,0.9075370488890845,0.7548213025053826,0.1527157463837019,0,0,0,0
2,41,-47.54,45.22,0.1727579331253101,0.7249470923794925,0.8977050255048026,0.7735580743578537,0.12414695114694885,0,0,0,0
2,42,-47.54,50.22,0.17403160509201798,0.7095334605504575,0.8835650656424755,0.8179599387814693,0.06560512686100617,0,0,0,0
2,43,-47.54,55.22,0.19282315329543637,0.6920112801421282,0.8848344334375646,0.8848344334375646,0.0,0,0,0,0
2,44,-47.54,60.22,0.2746445190229731,0.6717281245801076,0.9463726436030806,0.9463726436030806,0.0,0,0,0,0
2,45,-47.54,65.22,0.362795405027623,0.6525364738832616,1.0153318789108847,0.914305705129698,0.10102617378118672,0,0,0,0
2,46,-47.54,70.22,0.4291421363179907,0.6357611904462481,1.064903326764239,0.8186463593047986,0.24625696745944037,0,0,0,0
2,47,-47.54,75.22,0.4478024851850725,0.6221370760547678,1.0699395612398401,0.8740647881456476,0.19587477309419254,0,0,0,0
2,48,-47.54,80.22,0.4558720983863817,0.6122539691156482,1.0681260675020299,0.990885949553732,0.07724011794829788,0,0,0,0
2,49,-47.54,85.22,0.48124663053528804,0.606577187103929,1.087823817639217,1.0251207899123416,0.06270302772687542,0,0,0,0
2,50,-47.54,90.22,0.5144175929300939,0.6051444014637425,1.1195619943938364,1.1195619943938364,0.0,0,0,0,0
2,51,-47.54,95.22,0.5100997616155115,0.599932107063449,1.1100318686789605,1.1100318686789605,0.0,0,0,1,0
2,52,-47.54,100.22,0.4251014188292479,0.5878321093186336,1.0129335281478815,0.8462111452999048,0.1667223828479767,0,0,0,0
2,53,-47.54,105.22,0.4280449316973533,0.5781987196008267,1.00624365129818,0.7066112751292326,0.29963237616894745,0,0,0,0
3,3,-42.54,-144.78,0.024900985590491025,0.20766543375340507,0.2325664193438961,0.2325664193438961,0.0,0,0,0,0
3,36,-42.54,20.22,0.06739305054576736,0.8208406021074984,0.8882336526532658,0.6594505860623,0.2287830665909658,0,0,0,0
3,37,-42.54,25.22,0.05581256754159357,0.7939649509044592,0.8497775184460528,0.8279423138534889,0.02183520459256383,0,0,0,0
3,38,-42.54,30.22,0.12008820251512475,0.7670163181985701,0.8871045207136948,0.8871045207136948,0.0,0,0,0,0
3,39,-42.54,35.22,0.18562787289912364,0.7427547367737566,0.9283826096728802,0.8911877882130551,0.03719482145982511,0,0,0,0
3,40,-42.54,40.22,0.18308606243184505,0.7212958588789735,0.9043819213108186,0.8571265655262433,0.04725535578457529,0,0,0,0
3,41,-42.54,45.22,0.16864532194774282,0.7016930838803708,0.8703384058281136,0.8575430579182121,0.012795347909901555,0,0,0,0
3,42,-42.54,50.22,0.14601335250808495,0.6803980307531644,0.8264113832612494,0.8264113832612494,0.0,0,0,0,0
3,43,-42.54,55.22,0.18398338781348525,0.6560556672177501,0.8400390550312353,0.8400390550312353,0.0,0,0,0,0
3,44,-42.54,60.22,0.243854129203827,0.6332225273428127,0.8770766565466397,0.8770766565466397,0.0,0,0,0,1
3,45,-42.54,65.22,0.3110197662152498,0.6129189234587509,0.9239386896740007,0.9239386896740007,0.0,0,0,0,0
3,46,-42.54,70.22,0.38992822390075504,0.595455279096567,0.9853835029973221,0.944867399154633,0.04051610384268911,0,0,0,0
3,47,-42.54,75.22,0.39721269758089023,0.5812844531316175,0.9784971507125078,0.8842690614963087,0.09422808921619907,0,0,0,0
3,48,-42.54,80.22,0.38771768661542716,0.5709421651928894,0.9586598518083166,0.9335064653009896,0.025153386507327014,0,0,0,0
3,49,-42.54,85.22,0.4262993682474834,0.5649441763882885,0.9912435446357719,0.9912435446357719,0.0,0,0,0,0
3,50,-42.54,90.22,0.4509246909186165,0.5634392093834926,1.014363900302109,1.014363900302109,0.0,0,1,0,0
3,51,-42.54,95.22,0.4592512162230908,0.5587248954966253,1.0179761117197161,1.0179761117197161,0.0,0,0,0,0
3,52,-42.54,100.22,0.44018415949292317,0.5468727635898777,0.9870569230828008,0.9482423750768257,0.03881454800597506,0,0,0,0
3,53,-42.54,105.22,0.48828656140965554,0.5414592167628829,1.0297457781725385,0.8717507240318727,0.15799505414066584,0,0,0,0
3,54,-42.54,110.22,0.6099918389971527,0.5444316382455943,1.154423477242747,0.7540227938422355,0.4004006834005116,0,0,0,0
3,55,-42.54,115.22,0.5441875355797584,0.5484876197969409,1.0926751553766993,0.6395589755730662,0.45311617980363317,0,0,0,0
4,3,-37.54,-144.78,0.017874908208974555,0.22542106628709635,0.2432959744960709,0.2432959744960709,0.0,0,0,0,0
4,32,-37.54,0.22,0.3144714851203906,0.797787774102275,1.1122592592226654,0.4297779845281989,0.6824812746944666,0,0,0,0
4,33,-37.54,5.22,0.2692120423687409,0.8290604711329871,1.098272513501728,0.41063222747919975,0.6876402860225281,0,0,0,0
4,34,-37.54,10.22,0.1990356581354899,0.8267307297033547,1.0257663878388446,0.5481283023646745,0.4776380854741701,0,0,0,0
4,35,-37.54,15.22,0.1068584373589031,0.8104015134263539,0.917259950785257,0.6450138240245427,0.27224612676071436,0,0,0,0
4,36,-37.54,20.22,0.059498040479056755,0.7880481335571649,0.8475461740362216,0.8143855652432654,0.033160608792956126,0,0,0,0
4,37,-37.54,25.22,0.08029795165693084,0.7620300503429132,0.842328001999844,0.842328001999844,0.0,0,0,0,0
4,38,-37.54,30.22,0.15966577207509433,0.7351715899093544,0.8948373619844487,0.8948373619844487,0.0,0,1,0,0
4,39,-37.54,35.22,0.23568728742578018,0.7106366255186679,0.9463239129444481,0.9463239129444481,0.0,0,0,0,0
4,40,-37.54,40.22,0.22665960560683587,0.6884596826223224,0.9151192882291582,0.9151192882291582,0.0,0,0,0,0
