,-159.78,-154.78,-149.78,-144.78,-139.78,-134.78,-129.78,-124.78,-119.78,-114.78,-109.78,-104.78,-99.78,-94.78,-89.78,-84.78,-79.78,-74.78,-69.78,-64.78,-59.78,-54.78,-49.78,-44.78,-39.78,-34.78,-29.78,-24.78,-19.78,-14.78,-9.78,-4.78,0.22,5.22,10.22,15.22,20.22,25.22,30.22,35.22,40.22,45.22,50.22,55.22,60.22,65.22,70.22,75.22,80.22,85.22,90.22,95.22,100.22,105.22,110.22,115.22,120.22,125.22,130.22
-57.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144608.03397348127,144563.569601649,,,,,,,,,
-52.54,,,57204.74298343568,62022.99222667639,68623.504773519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150960.65105038704,148754.91410501525,146269.72749746518,143755.59149743887,141883.80861659633,140735.54464779244,139874.9690427677,139628.75169922027,138151.39111888234,,,,,,,
-47.54,,,55043.63184175819,60905.54147804096,68008.15389635599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159776.46610109546,156714.70309681672,153840.82545866285,151076.53944505675,147934.1056067586,144296.51753836626,140854.6803264917,137846.19524694904,135402.84190376126,133630.40211891322,132612.32608781673,132355.36982017045,131420.59515646112,129250.57741491546,127522.92200210178,,,,,
-42.54,,,,61071.35555725131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187196.98946490636,183897.6964214284,176729.61103608512,171038.40035061035,166218.51185507933,161385.5348318204,157034.4545060113,153186.0119916072,149670.44360658628,145851.38148213277,141485.813664929,137390.91053612146,133749.65525864757,130617.71929492214,128076.31851082097,126221.52904816755,125145.84768077635,124875.94638246828,124030.47971466676,121904.91431745002,120934.04697457794,121467.12206176984,122194.52318294578,,,
-37.54,,,58625.93539511214,64255.656779702695,,,,,,,,,,,,,,,,,,,,,,,,,,187810.67501803688,182504.54249150597,167628.34753483284,166904.09827724387,172512.5544781312,172094.7378518688,169166.2506096445,165157.38780465466,160491.29584607302,155674.49034903065,151274.38142844883,147297.16089062387,143306.86559671233,138834.75527494,134553.58132020154,130604.24073550425,127000.41513951372,123818.25960608374,121180.87786718013,119227.63750225192,118084.87268756906,117791.17100719035,116926.95296657366,114876.46750510728,113994.04791373281,114629.36182168114,116176.54170912916,117304.40589597839,,
-32.54,,61126.24569396216,63879.594456324376,70284.07946269296,77963.3584866473,83945.4676624497,,95322.14012108947,100186.88798607033,104695.11622234226,108860.45338684264,,,,,,,,,,154112.70794156264,156454.36633290097,159061.273245552,162426.49236419785,165177.62382103642,168116.6450944473,171630.45395769755,175184.1075590239,177102.6548357358,176283.1182383555,169733.75595401105,158303.9679264333,150919.10836860724,151391.97563039165,154834.85342225715,156315.94209693288,154855.58925364164,151508.60802621482,147526.00191675153,143616.54674070928,140130.40145952313,136118.05581478268,132003.65632595785,128094.85184944271,124343.08337875169,120768.12905571534,117489.62748542239,114699.67585897584,112604.21371023374,111375.34717167975,111043.00070759935,110056.66235580857,108134.39975258772,107466.83856418647,108283.9051605729,109955.77391476299,112172.91388304344,,
-27.54,,69788.15398606019,73304.83986678786,78273.25321746693,83522.69238172406,88687.88686040672,93640.83350372105,98340.81696777063,102769.64561641743,106911.54484427678,110754.86739040361,115188.29433807434,121493.37433733634,127302.61858841666,132721.65939159074,136952.21244395315,140760.0506314864,144217.37041988378,147123.67869571655,149442.9348069226,152204.12543369873,154324.72286925794,156749.61032889964,159170.99892152564,161390.12440737218,163317.98766146073,164930.04262641844,165808.20316362966,165132.34568510906,161648.03746124147,154225.75570962744,143430.22691577533,132135.90694283755,131260.42889378703,138819.7732174006,142823.9732754357,143051.23123190948,140977.37407172652,138267.73179769795,135688.40232815116,132695.43995581882,129184.33775225056,125692.32959957933,122226.58713665849,118696.18125651586,115102.60078724315,111628.92061556922,108586.5340576627,106282.22802510273,104943.87168537546,104546.26000789694,103348.87403867298,101663.60179389635,101337.25458511588,102416.37446682455,104284.3112386034,106695.81138645488,109574.68582560636,
-22.54,,80335.50262462004,83548.11866424803,87362.96106870598,91338.51321231539,95322.58194829024,99266.16073810714,103127.75815694677,106861.56527027139,110421.89953652304,113766.08572820242,117435.93911016732,123054.73534025806,128465.99842578187,133344.14027631993,137198.20615135957,140582.64424525734,143559.60262051178,146113.23823598196,148212.03622934635,149857.98944346487,151427.25973106196,153170.38298041484,154842.89707383182,156169.88600228776,157046.03452490055,157395.29703630455,156787.60552304066,154586.7158947448,150067.49413283702,142783.9098875235,133148.38573601557,123077.66960320943,121816.43590546181,127886.08272407293,131435.94064732306,131832.29129678837,130872.95320412908,129732.07439405026,128124.05670847613,125547.85156173944,122781.09496477983,119980.47976216383,117056.98179994222,113777.45807871789,110051.6910900861,106198.08942613911,102749.47738748102,100160.09047184268,98739.01560811188,98255.66276104117,96745.47946247066,95471.56456261178,95621.8964219731,97058.81836661647,99182.5915843182,101829.10070785246,104925.07595340081,
-17.54,89332.16521353138,91113.90632411951,94083.67934111095,96947.94149464995,99623.35269290603,102367.95098827513,105259.8098606976,108250.38278377798,111259.59897348669,114209.57731758362,117032.36052216809,119946.75923012805,124631.07022002783,129637.61453867753,133975.39708771964,137443.3960936464,140319.26340599882,142785.97301354987,144810.97765806137,146338.42813298196,147368.229317816,148358.11465166428,149455.40260671277,150423.46165676627,150955.54842698944,150964.79807072633,150387.21516673215,148880.99312374907,146042.7354820846,141547.29353946433,135400.07840278605,128412.10058821441,122724.25295451566,120862.59710710836,121948.8478827192,122800.68863744353,122727.975909461,122635.45451436762,122411.98289059852,121128.42325121051,119058.84404850821,116957.14375075432,114844.42255269649,112597.69116318399,109688.38618807953,105620.44944056863,101058.50408439402,97068.39753701862,94281.77737515485,92847.07989271068,92165.53145249265,90364.48392301587,89606.9730192479,90352.93601992787,92181.50555057821,94617.33592102272,97548.41877690569,100906.56355152561,
