,14.20833333,14.29166667,14.375,14.45833334,14.54166667,14.62500001,14.70833334,14.79166668,14.87500001,14.95833335,15.04166668,15.12500002,15.20833335,15.29166669,15.37500002,15.45833336,15.54166669,15.62500003,15.70833336,15.7916667,15.87500003,15.95833337,16.0416667,16.12500004,16.20833337,16.29166671,16.37500004,16.45833338,16.54166671,16.62500005,16.70833338,16.79166672,16.87500005,16.95833339,17.04166672,17.12500006,17.20833339,17.29166673
-18.20833333,176,159,123,8,40,70,40,4,139,233,253,157,219,187,215,121,37,12,586,484,730,22,21,15,100,187,177,166,169,191,218,330,366,437,380,429,389,458
-18.29166667,57,173,141,128,90,143,150,73,155,244,197,204,244,279,307,299,151,88,89,41,34,19,63,57,143,360,365,286,243,224,221,230,258,355,455,434,378,493
-18.375,41,57,58,108,101,131,115,70,67,196,199,220,238,213,295,253,323,412,150,179,233,234,198,258,244,365,308,372,410,188,261,118,141,336,285,359,471,441
-18.45833334,49,33,12,8,16,28,119,116,67,129,213,237,239,235,284,270,347,426,441,247,258,128,289,354,333,439,289,358,93,13,27,166,365,373,244,187,354,448
-18.54166667,112,114,38,4,7,41,19,53,75,185,230,254,325,279,285,321,491,60,312,337,322,309,349,182,307,50,723,385,103,718,823,150,357,319,251,351,491,484
-18.62500001,76,98,40,1,3,19,30,11,30,129,212,209,264,206,313,422,440,352,893,248,411,594,635,77,639,22,9,896,23,41,999,391,208,215,255,438,453,513
-18.70833334,33,65,48,5,5,2,4,3,33,40,153,264,300,317,349,336,284,324,415,297,262,423,133,27,15,9,8,13,508,6,15,968,22,100,128,354,491,139
-18.79166668,20,51,33,8,7,5,1,3,4,98,136,147,107,166,117,327,349,431,333,99,235,61,19,12,7,8,5,10,16,10,900,61,4,16,249,78,132,143
-18.87500001,42,10,47,17,5,3,1,3,13,34,69,69,95,156,145,269,184,125,47,29,562,13,15,14,9,8,9,7,12,23,64,157,257,391,13,235,373,38
-18.95833335,8,4,9,2,13,17,7,4,14,49,51,80,105,139,138,95,131,63,241,365,14,14,6,14,12,12,36,3,5,391,16,326,373,45,262,231,385,403
-19.04166668,30,15,16,7,4,44,10,17,118,39,94,142,120,118,165,88,40,81,54,18,585,216,16,2,302,5,117,127,113,286,171,314,315,251,252,257,425,148
-19.12500002,2,4,11,17,42,9,13,135,144,49,10,33,52,96,56,125,31,168,243,135,62,182,243,44,196,193,221,193,284,147,249,196,161,374,292,265,27,129
-19.20833335,5,3,7,34,25,18,31,61,7,3,3,35,49,10,7,22,13,69,177,212,219,59,6,199,261,193,244,178,59,231,244,267,303,43,113,416,6,277
-19.29166669,1,17,11,8,19,9,12,96,18,9,14,13,20,14,11,59,191,94,204,192,265,176,44,71,209,183,108,124,284,207,295,324,424,446,163,92,71,87
-19.37500002,2,3,13,24,22,6,19,41,38,51,166,35,25,33,55,109,188,10,95,206,254,244,135,28,134,122,103,226,332,343,387,395,347,552,169,89,56,36
-19.45833336,3,7,9,11,16,12,15,21,45,54,35,173,24,48,33,52,57,12,6,18,176,234,75,139,203,199,246,235,382,426,419,504,187,142,201,60,25,51
-19.54166669,7,5,6,13,11,14,15,15,21,22,26,23,7,4,23,27,70,51,13,204,120,191,216,245,265,209,251,243,51,34,95,98,28,82,21,128,446,404
